ID,lat,lon
AAT,47.73,88.08
AEB,23.9,106.6
AKA,32.71,108.93
AQG,30.58,117.05
BAR,19.23,110.47
BFU,32.85,117.3
BHY,21.48,109.1
CAN,23.39,113.3
CDE,41.12,118.07
CGD,28.92,111.64
CGO,34.52,113.84
CGQ,44.0,125.68
CHN,38.82,127.15
CIF,42.3,118.83
CJJ,36.72,127.5
CJU,33.51,126.49
CKG,29.72,106.64
CSX,28.19,113.22
CTS,42.78,141.69
CTU,30.58,103.95
CWS,35.26,128.65
DAX,31.2,107.5
DDG,40.05,124.33
DLC,38.97,121.54
DNA,26.36,127.77
DNH,40.16,94.81
EJN,42.02,101.0
ENH,30.32,109.49
ENY,36.64,109.55
ERL,43.65,112.0
FUG,32.87,115.73
FUK,33.59,130.45
FYN,46.98,89.52
GMP,37.62,126.72
HAK,20.0,110.25
HCJ,24.7,108.05
HEK,50.25,127.45
HET,40.85,111.82
HFE,31.78,117.3
HGH,30.23,120.43
HMI,42.84,93.67
HND,35.55,139.78
HRB,45.93,126.57
HSG,33.15,130.3
HTN,37.04,79.86
HZG,33.13,107.21
IBR,36.18,140.42
INC,38.48,106.22
ITM,34.79,135.44
JDZ,29.34,117.18
JGN,39.86,98.34
JGS,27.12,114.97
JNZ,41.1,121.06
JUZ,28.97,118.9
JXA,45.3,130.92
KAG,37.75,128.94
KCA,41.72,82.95
KHG,39.54,76.02
KHN,28.86,115.9
KKJ,33.85,131.04
KMG,24.99,102.74
KOW,25.85,114.78
KPO,35.99,129.42
KRL,41.73,85.82
KRY,45.47,84.95
KWE,26.54,106.8
KWJ,35.12,126.81
KWL,25.22,110.04
LHW,36.12,103.62
LXA,29.67,91.13
MDG,44.52,129.57
MMY,24.78,125.29
MSJ,40.7,141.37
MWX,34.99,126.38
MXZ,24.28,116.07
NAO,30.8,106.16
NDG,47.24,123.92
NGB,29.83,121.46
NKG,31.74,118.86
NNG,22.61,108.17
NNY,33.1,112.48
NRT,35.76,140.39
OHE,52.97,122.53
OKA,26.2,127.65
OKO,35.75,139.35
OSN,37.09,127.03
PEK,40.08,116.58
PUS,35.18,128.94
PVG,31.4,121.47
QUN,37.88,127.72
RQA,39.03,88.17
SHA,31.2,121.34
SHE,41.73,123.52
SJW,38.28,114.7
SSN,37.44,127.11
SWA,23.55,116.5
SWU,37.24,127.01
SYM,22.79,100.96
SYX,18.3,109.41
TAE,35.9,128.66
TAO,36.27,120.37
TCG,46.73,83.0
TGO,43.6,122.27
TLQ,43.03,89.1
TNA,36.68,116.98
TSN,39.12,117.35
TYN,37.75,112.63
URC,43.91,87.47
USN,35.58,129.35
WEF,36.65,119.12
WJU,37.44,127.96
WUH,30.78,114.21
WUZ,23.48,111.3
X01,44.02,115.0
X02,48.68,116.82
X03,43.98,119.4
X04,40.77,107.4
X05,39.0,83.67
X06,48.77,121.92
X07,33.78,115.73
X09,25.73,112.97
X11,39.83,109.98
X12,32.85,120.28
X13,42.18,116.47
X14,47.23,131.98
X15,34.85,119.13
X16,47.45,126.87
X17,39.37,111.22
X18,23.8,114.73
X19,35.08,115.52
X20,46.82,85.75
X21,23.45,103.33
X22,41.9,114.0
X23,33.63,118.93
X24,49.25,119.7
X25,51.73,126.63
X26,31.4,116.33
X27,44.57,120.9
X28,32.43,111.73
X29,39.43,118.9
X30,41.8,126.92
X31,37.62,120.32
X32,33.4,104.92
X33,22.37,106.75
X34,34.08,111.07
X35,42.53,110.13
X36,39.8,78.57
X37,38.63,103.08
X38,26.63,118.15
X41,49.17,125.23
X42,39.1,107.98
X44,35.55,106.67
X45,38.08,116.55
X46,27.78,120.65
X47,21.73,112.77
X48,22.78,115.37
X49,24.67,113.6
X50,27.33,117.47
X52,33.75,120.3
X55,45.97,128.73
X56,50.45,121.7
X57,41.57,108.52
X58,43.78,87.62
X59,40.75,104.5
X60,45.52,116.97
X61,44.58,117.6
X62,34.43,108.97
X63,25.43,105.18
X64,37.18,114.37
X65,22.35,110.93
X67,37.8,107.38
X68,21.87,111.97
X69,38.43,77.27
X70,25.97,117.35
X71,26.23,111.62
X72,28.83,108.77
X73,40.63,87.7
X74,42.42,122.53
X75,27.45,109.68
X77,42.4,112.9
XAI,32.54,114.08
XCE,36.82,127.11
XIL,43.95,116.12
XIY,34.45,108.75
XMN,24.54,118.13
XNN,36.53,102.04
XUZ,34.28,117.15
YBP,28.8,104.55
YCU,35.12,111.03
YGJ,35.49,133.24
YIC,47.7,128.83
YIE,47.31,119.91
YIH,30.73,111.37
YIN,43.95,81.33
YKH,40.54,122.36
YLX,38.27,109.78
YNJ,42.88,129.5
YSQ,45.08,124.87
YZY,39.08,100.28
ZQZ,40.74,114.93
