date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,-14.6,-19.7,1029.1,-1.5,2.7,0.0,-10.0,-21.9,1030.2,-2.2,4.4,0.0,-11.5,-25.9,1030.6,-1.8,2.6,0.0,-14.4,-23.9,1032.5,-1.5,3.0,0.0
2018-01-02,-16.0,-23.2,1032.5,-1.1,3.2,0.0,-10.5,-23.5,1034.2,-2.9,4.0,0.0,-10.0,-22.7,1034.0,-1.2,2.2,0.0,-12.5,-21.5,1036.8,-1.9,3.5,0.0
2018-01-03,-14.4,-20.9,1036.4,-1.5,3.0,0.0,-9.5,-21.3,1037.0,-3.6,3.1,0.0,-9.8,-22.0,1036.3,-1.9,1.6,0.0,-12.9,-21.1,1037.0,-1.7,2.6,0.0
2018-01-04,-15.4,-21.0,1036.5,-1.1,2.4,0.0,-9.6,-21.7,1034.7,-1.7,2.1,0.0,-8.6,-21.6,1030.9,0.6,2.3,0.0,-12.3,-22.3,1028.2,-1.5,2.7,0.0
2018-01-05,-14.0,-21.5,1025.8,-0.7,2.9,0.0,-7.6,-21.1,1024.6,-2.1,3.9,0.0,-7.2,-20.2,1023.0,-1.3,2.3,0.0,-10.5,-18.7,1025.7,-2.8,2.4,0.0
2018-01-06,-13.1,-18.2,1026.8,-0.7,2.8,0.0,-5.6,-17.8,1027.1,-1.2,3.7,0.0,-5.1,-17.2,1024.3,1.4,2.6,2.7,-8.8,-17.0,1024.2,0.2,2.6,10.0
2018-01-07,-8.8,-17.1,1022.3,1.4,1.2,10.0,-3.0,-17.3,1020.2,2.0,0.8,9.9,-2.3,-15.5,1016.8,2.6,0.0,10.0,-4.3,-15.5,1015.6,-0.6,2.9,10.0
2018-01-08,-6.5,-13.6,1014.1,-1.1,2.8,9.8,-6.3,-19.0,1011.5,-2.7,2.9,10.0,-7.4,-14.6,1010.9,-2.5,2.6,10.0,-8.8,-16.4,1012.4,-3.0,2.9,8.9
2018-01-09,-13.2,-20.8,1012.6,-1.9,2.9,2.5,-8.5,-19.2,1013.6,-3.7,3.7,9.5,-9.7,-25.3,1015.2,-3.0,2.9,9.9,-12.3,-24.2,1018.2,-3.4,3.0,9.9
2018-01-10,-15.3,-26.8,1021.5,-4.1,2.7,9.8,-14.2,-28.7,1025.6,-4.9,1.8,4.9,-15.2,-29.8,1027.6,-2.4,1.1,0.0,-17.6,-30.9,1031.1,-3.5,2.1,7.1
2018-01-11,-20.3,-31.2,1034.0,-2.9,1.9,0.0,-16.2,-30.7,1035.6,-3.4,2.0,0.0,-15.5,-31.6,1033.7,-0.7,1.6,0.0,-18.8,-31.6,1031.1,2.0,1.6,1.8
2018-01-12,-18.5,-31.1,1028.5,2.5,1.5,8.2,-9.2,-22.4,1026.6,1.1,2.5,1.9,-7.8,-18.7,1025.6,-0.6,-1.0,7.6,-15.0,-19.9,1027.6,0.8,-1.3,0.0
2018-01-13,-16.2,-22.0,1029.3,-0.1,-2.4,0.2,-7.8,-20.7,1030.0,2.2,-1.8,3.5,-5.9,-13.5,1024.4,4.0,-1.4,9.1,-5.9,-7.9,1020.1,5.7,0.7,8.8
2018-01-14,-4.2,-7.9,1016.0,6.0,2.0,10.0,0.7,-9.1,1014.9,4.8,4.3,10.0,-3.2,-13.3,1017.5,-2.3,2.5,2.7,-8.3,-18.0,1024.3,-2.8,3.4,0.0
