date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,-4.4,-10.4,1026.7,2.1,0.1,0.0,6.7,-8.0,1027.9,2.3,-0.5,0.0,6.6,-5.0,1024.9,1.9,-1.8,0.0,0.7,-1.1,1027.2,2.7,-0.3,0.0
2018-01-02,-2.0,-3.5,1027.7,1.3,0.3,0.0,4.9,-1.1,1031.1,-3.0,-0.9,4.4,1.2,-4.4,1032.9,-3.9,-1.4,10.0,-1.0,-6.5,1036.5,-2.5,-0.8,9.9
2018-01-03,-3.7,-8.0,1037.7,-1.9,0.2,8.7,1.5,-9.7,1038.6,-3.0,0.6,10.0,0.2,-8.9,1036.7,-2.5,-0.7,10.0,-1.9,-8.6,1037.4,-1.3,-0.6,10.0
2018-01-04,-2.2,-7.6,1035.0,-0.9,0.6,10.0,0.9,-8.2,1033.9,-2.3,-0.0,10.0,-0.2,-7.0,1030.3,-2.4,0.2,10.0,-2.1,-6.1,1030.1,-1.4,0.3,10.0
2018-01-05,-4.4,-8.1,1027.9,-1.0,1.8,1.8,0.5,-9.9,1028.6,-1.9,1.9,0.3,0.4,-10.5,1026.2,-1.9,0.5,0.0,-3.5,-11.6,1027.5,-1.6,1.1,9.6
2018-01-06,-4.3,-13.8,1028.0,-1.3,1.6,0.0,2.4,-9.8,1028.9,-1.2,-0.4,2.4,2.0,-8.1,1026.1,-1.7,-1.2,8.2,-1.0,-4.9,1025.6,-0.3,-1.1,10.0
2018-01-07,-1.1,-4.2,1024.0,-0.4,0.5,9.7,2.4,-4.7,1023.4,0.0,-0.2,10.0,2.3,-2.3,1020.3,-1.0,-0.2,10.0,-0.8,-1.8,1021.1,-0.6,1.4,10.0
2018-01-08,-2.0,-4.3,1019.0,-1.6,2.8,0.4,0.2,-6.1,1019.1,-1.9,5.1,9.7,-0.7,-22.4,1018.2,-2.5,4.8,0.0,-2.7,-20.8,1021.1,-1.6,4.5,0.0
2018-01-09,-4.9,-20.0,1021.3,-0.8,2.7,0.0,2.3,-20.6,1020.5,0.1,4.0,0.0,2.2,-18.1,1018.4,-2.9,3.7,1.6,-3.2,-20.1,1024.2,-3.4,3.4,0.0
2018-01-10,-5.1,-21.3,1025.2,-2.4,2.8,0.0,-2.9,-23.7,1029.7,-5.4,4.7,0.0,-3.5,-24.2,1029.7,-4.5,2.0,0.3,-6.6,-23.1,1031.4,-0.1,2.2,0.0
2018-01-11,-7.0,-18.2,1032.9,-3.0,3.0,0.0,-4.2,-17.9,1036.7,-5.0,2.1,8.5,-5.4,-20.5,1036.3,-3.1,1.3,1.4,-8.6,-20.9,1037.7,-0.9,1.7,0.0
2018-01-12,-9.6,-27.3,1035.9,1.2,1.7,0.0,-0.7,-27.5,1035.0,1.9,1.6,0.0,1.1,-21.0,1030.8,1.7,1.9,0.0,-4.4,-17.6,1031.7,1.9,1.6,0.0
2018-01-13,-5.8,-16.2,1030.3,2.1,0.7,0.0,3.5,-15.5,1031.1,1.3,-0.0,0.0,3.6,-13.3,1027.2,3.3,-0.6,0.0,-0.8,-11.1,1027.0,4.0,0.2,0.0
2018-01-14,0.1,-9.9,1023.2,4.5,-0.1,7.8,7.1,-9.0,1022.0,4.3,1.6,0.2,8.5,-6.4,1020.5,-1.2,2.0,0.0,-2.2,-4.6,1025.6,-2.0,0.7,0.0
2018-01-15,-0.7,-5.4,1025.4,-0.0,-0.6,0.0,5.3,-7.0,1025.9,1.1,-2.0,8.3,5.3,-9.4,1022.0,1.3,-2.0,8.2,1.9,-0.2,1020.8,2.6,-0.4,9.8
2018-01-16,1.0,-2.6,1018.9,-0.7,1.7,9.4,3.3,-6.2,1020.7,-2.4,0.4,10.0,2.7,-3.6,1017.3,-2.3,-0.5,10.0,-3.1,-4.1,1018.5,0.2,1.5,0.3
