date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,4.2,0.6,1023.5,1.1,-2.8,9.7,10.4,-0.2,1024.5,1.9,-3.2,8.6,9.9,2.1,1021.6,1.4,-1.4,10.0,8.2,2.9,1023.3,0.7,-1.4,10.0
2018-01-02,7.5,3.3,1022.4,-0.3,-1.4,7.8,10.5,2.7,1024.5,-1.4,-1.3,10.0,7.6,3.2,1023.3,-4.1,-1.5,10.0,5.8,3.4,1027.2,-5.0,-1.7,10.0
2018-01-03,5.6,4.4,1027.2,-4.3,-1.7,10.0,6.3,5.1,1029.3,-4.4,-2.3,10.0,3.1,2.4,1027.6,-4.9,-2.1,10.0,1.3,0.7,1028.8,-4.5,-2.4,10.0
2018-01-04,0.7,0.1,1025.9,-3.9,-2.0,10.0,0.4,-0.3,1027.0,-4.3,-1.4,10.0,-0.4,-1.4,1025.2,-4.5,-0.2,9.7,-2.0,-3.4,1028.0,-4.0,0.2,4.1
2018-01-05,-3.0,-4.2,1027.4,-3.8,-0.7,8.2,-1.9,-3.7,1028.8,-3.1,-1.1,9.5,0.1,-1.5,1024.7,-2.4,-1.0,8.1,-0.4,-1.5,1025.5,-2.4,-1.1,9.3
2018-01-06,-0.0,-1.0,1022.5,-2.4,-1.5,10.0,0.5,-0.8,1023.7,-2.4,-0.6,10.0,0.6,-0.6,1020.4,-3.4,-0.8,9.2,-0.2,-1.6,1022.7,-3.2,0.3,9.1
2018-01-07,-1.0,-2.5,1021.8,-3.6,1.1,10.0,-0.3,-2.2,1023.9,-3.9,0.8,10.0,1.1,-1.9,1021.6,-2.8,0.5,9.9,-0.6,-2.8,1024.9,-2.5,0.8,3.5
2018-01-08,-2.1,-4.5,1026.3,-1.7,1.8,9.8,1.6,-5.8,1029.7,-3.8,2.0,4.6,2.8,-6.3,1028.1,-2.9,2.7,0.0,-6.0,-11.5,1030.2,-1.6,1.9,0.0
2018-01-09,-7.0,-9.5,1029.4,0.8,2.0,0.8,1.3,-3.5,1030.7,-0.1,3.1,0.0,4.6,0.4,1027.7,-0.2,2.9,0.0,-2.7,-7.2,1030.4,-2.2,2.2,0.0
2018-01-10,-1.8,-6.4,1030.7,-1.5,0.7,0.0,3.8,-1.0,1033.3,-0.3,0.9,0.0,6.5,-6.5,1030.5,-2.0,2.1,0.0,-1.2,-6.3,1032.3,-1.4,-0.7,0.0
2018-01-11,-1.6,-4.7,1032.0,-0.9,-0.3,0.0,5.3,-3.5,1034.7,-1.2,0.3,0.0,7.2,-6.3,1033.4,-3.5,-1.8,0.0,-2.4,-6.5,1036.4,-2.6,-1.4,0.0
2018-01-12,-4.7,-6.4,1035.6,-1.2,-1.6,0.0,3.6,-4.1,1036.3,1.4,-2.1,0.0,6.8,-4.5,1031.4,1.0,-1.8,0.0,0.3,-3.8,1032.8,1.7,-2.3,9.9
2018-01-13,-0.5,-5.0,1030.5,1.4,-2.8,10.0,5.0,-4.8,1031.9,2.4,-3.1,10.0,7.4,-1.9,1027.2,1.5,-2.3,8.7,4.4,-2.7,1027.0,1.5,-2.7,3.9
2018-01-14,1.8,-2.3,1025.0,1.9,-1.4,0.3,9.1,0.9,1026.2,1.5,-0.6,7.6,11.4,1.5,1021.8,1.8,-1.0,0.0,4.0,-0.0,1022.9,1.0,-2.5,0.0
2018-01-15,2.3,-0.0,1021.5,0.7,-2.6,0.0,10.7,3.0,1022.2,1.1,-2.3,1.8,12.7,4.7,1017.8,0.7,-1.4,9.1,9.1,4.5,1019.3,-1.8,0.0,10.0
2018-01-16,6.5,4.9,1018.4,-2.2,-0.7,10.0,7.2,4.7,1020.5,-2.2,-0.1,9.9,10.5,2.6,1017.1,-0.8,0.8,1.0,4.2,3.3,1019.7,1.9,1.2,0.0
2018-01-17,0.7,0.7,1018.0,2.0,-0.7,10.0,6.1,4.6,1021.1,1.2,-1.6,10.0,10.1,4.8,1018.1,-0.1,-1.2,0.0,3.3,2.0,1021.0,-2.3,-0.3,0.1
2018-01-18,2.8,1.7,1021.2,-2.5,-0.4,0.1,9.2,4.6,1024.1,-3.0,-1.1,10.0,8.7,4.7,1022.6,-2.9,0.4,10.0,6.8,5.3,1025.3,-2.8,-0.3,10.0
2018-01-19,5.6,4.5,1024.6,-2.4,0.2,10.0,6.7,4.5,1026.8,-1.8,0.1,9.2,9.6,4.4,1022.8,1.3,0.5,10.0,4.7,4.1,1023.9,0.8,1.6,3.4
2018-01-20,3.6,3.6,1022.4,-0.2,0.4,9.9,7.8,5.1,1023.6,-0.2,-0.1,9.0,11.2,2.9,1020.7,0.2,-0.9,5.2,7.1,5.4,1022.1,0.6,1.1,10.0
2018-01-21,6.3,4.8,1020.3,-0.5,-0.1,10.0,8.8,4.6,1021.6,0.0,1.5,10.0,8.9,6.8,1018.9,0.2,0.6,9.8,3.0,2.9,1021.0,0.5,1.5,9.7
2018-01-22,2.3,2.1,1021.3,0.7,1.8,10.0,4.9,4.1,1021.2,1.4,-2.3,10.0,10.0,4.6,1018.6,-0.8,-0.0,0.0,2.2,1.7,1019.9,-2.2,-0.1,0.5
2018-01-23,3.2,2.4,1021.7,-3.5,-1.5,0.7,7.1,1.3,1024.3,-4.4,-1.9,4.6,6.1,0.0,1021.9,-4.2,-1.6,8.9,3.7,-0.0,1024.9,-3.7,-2.1,10.0
2018-01-24,1.6,0.6,1024.1,-2.7,-1.3,10.0,3.1,0.8,1024.7,-2.9,-2.3,10.0,1.4,0.4,1021.6,-3.8,-2.8,10.0,-0.3,-1.9,1024.3,-4.1,-2.9,10.0
2018-01-25,-1.2,-2.3,1023.5,-3.8,-1.9,10.0,-1.5,-2.9,1027.2,-4.8,-1.9,9.9,-2.5,-4.2,1027.8,-5.0,-2.2,9.2,-2.9,-4.9,1032.3,-4.7,-1.6,9.7
2018-01-26,-4.0,-5.8,1032.4,-3.9,-1.7,6.7,-2.4,-5.1,1033.3,-3.7,-1.9,10.0,-2.3,-4.8,1029.5,-3.4,-1.8,9.6,-3.2,-4.8,1030.6,-2.6,-1.1,9.3
2018-01-27,-3.9,-4.9,1027.7,-2.4,-1.4,8.8,-3.2,-5.0,1027.9,-3.0,-0.9,10.0,-2.8,-5.0,1025.4,-3.2,-0.1,9.9,-3.5,-5.5,1028.7,-3.7,0.3,8.8
2018-01-28,-5.2,-7.1,1027.9,-3.6,-0.0,9.8,-3.2,-6.5,1032.1,-5.1,-0.6,6.4,-0.8,-6.4,1030.3,-4.1,-0.8,2.4,-5.1,-7.7,1034.1,-2.9,-0.7,0.1
2018-01-29,-7.8,-9.7,1032.7,-2.1,-0.9,0.4,-3.0,-9.2,1034.4,-2.7,-0.2,0.4,0.1,-8.5,1030.0,-2.8,0.2,6.1,-6.6,-12.7,1032.8,-2.0,-0.3,0.0
2018-01-30,-6.8,-10.7,1029.8,-1.9,0.4,0.2,-2.0,-9.9,1030.1,-1.6,-1.3,5.6,2.7,-6.2,1026.0,-0.8,1.0,3.4,-1.2,-7.1,1030.8,-2.8,0.1,10.0
2018-01-31,-1.8,-7.1,1031.0,-2.0,1.1,10.0,1.6,-7.0,1032.9,-3.2,2.3,8.7,3.3,-5.6,1030.7,-2.7,1.8,0.0,-3.4,-9.2,1032.0,-1.7,-0.6,0.0
2018-02-01,-3.0,-6.6,1029.9,0.1,0.1,0.0,3.7,-7.5,1031.6,0.3,-0.2,0.0,6.6,-8.0,1027.5,-0.8,-0.3,7.2,-2.4,-7.0,1031.0,-2.2,0.0,9.6
2018-02-02,-3.9,-8.5,1032.2,-2.4,0.4,3.6,2.4,-9.0,1037.2,-6.5,-0.4,10.0,2.8,-6.8,1035.4,-4.9,-1.0,9.5,-2.8,-9.7,1038.7,-3.3,-1.0,9.9
2018-02-03,-7.9,-14.8,1037.4,-2.4,-1.5,0.0,0.3,-11.3,1038.8,-2.6,-1.5,9.8,1.7,-9.8,1034.4,-3.0,-1.3,7.4,-6.4,-13.5,1036.2,-2.6,-1.3,0.0
2018-02-04,-7.6,-16.0,1035.4,-1.8,-1.5,10.0,1.5,-11.1,1037.4,-0.2,-1.6,9.7,4.2,-14.3,1033.8,-0.5,-0.4,10.0,-1.7,-9.5,1035.7,-1.4,0.9,7.2
2018-02-05,-3.0,-8.9,1034.5,-0.7,0.3,0.0,4.1,-5.3,1035.4,0.4,1.7,0.0,6.4,-7.3,1030.6,-0.5,1.4,0.0,-1.9,-7.2,1032.3,1.5,1.3,0.0
2018-02-06,-1.5,-6.4,1030.3,0.1,-0.5,0.0,5.8,-3.9,1031.3,1.1,-0.5,9.9,7.4,-6.3,1025.7,1.8,-0.8,9.8,-1.5,-5.5,1026.5,1.0,-2.0,0.0
2018-02-07,-2.4,-5.0,1024.8,0.1,-1.9,10.0,6.7,-2.1,1027.0,0.4,-0.9,10.0,9.9,-1.6,1024.8,-0.3,1.0,9.7,5.0,-1.6,1026.6,0.7,0.7,9.6
2018-02-08,-2.7,-4.7,1024.8,-1.1,-2.0,0.0,7.8,-1.7,1023.6,3.4,-3.3,8.0,10.4,-1.1,1018.4,2.1,-2.2,9.0,4.6,-2.0,1018.5,1.6,-2.8,2.9
2018-02-09,3.8,-2.0,1017.5,0.5,-2.2,9.5,10.1,0.7,1020.1,0.7,-0.8,9.2,12.8,0.7,1017.8,-0.6,-0.2,4.1,6.4,2.1,1022.0,-1.8,-0.3,9.7
2018-02-10,5.4,-0.3,1023.2,-3.4,-0.7,4.7,8.0,0.9,1029.6,-4.8,-1.2,9.3,9.4,-2.5,1027.6,-3.3,-2.2,7.6,3.2,-3.5,1031.3,-2.1,-1.1,9.3
2018-02-11,-0.8,-3.3,1030.4,-1.3,-0.8,0.6,8.4,0.0,1032.3,0.8,1.4,1.7,11.3,-6.5,1028.7,-2.3,1.8,0.0,3.0,-8.3,1032.6,-2.8,-2.2,0.0
2018-02-12,0.1,-12.4,1033.6,-1.5,-2.0,0.0,7.6,-10.8,1035.0,-0.7,-1.8,0.0,10.8,-5.3,1029.6,0.6,1.7,0.0,1.6,-2.8,1029.0,2.3,-0.5,0.0
2018-02-13,-0.3,-2.9,1026.3,2.2,-1.6,0.0,11.6,0.2,1024.4,3.6,-1.3,0.0,14.9,1.8,1018.4,3.7,0.7,0.0,6.1,2.8,1018.3,2.1,-1.2,0.0
2018-02-14,4.8,1.8,1015.0,2.3,-1.4,1.6,14.2,4.4,1015.0,2.2,-1.7,10.0,13.8,7.3,1011.9,0.9,-1.7,10.0,11.5,6.3,1017.0,-1.6,-1.3,10.0
2018-02-15,9.8,5.5,1017.4,-3.2,-0.3,9.7,10.1,5.3,1020.7,-5.1,-1.6,10.0,9.3,3.9,1018.4,-3.3,-1.5,9.7,6.4,3.7,1020.7,-2.3,-0.3,10.0
2018-02-16,4.9,2.4,1019.5,-2.2,1.0,5.9,9.7,4.5,1022.0,-1.1,1.0,0.2,14.4,5.7,1019.0,0.1,-0.2,0.0,6.8,5.3,1021.2,1.3,-0.8,0.0
2018-02-17,5.8,5.0,1019.4,0.4,-3.3,0.1,11.9,6.5,1019.5,2.5,-4.8,1.9,15.4,7.5,1014.6,1.0,-2.9,0.7,11.7,7.8,1017.4,-0.7,-1.9,9.9
2018-02-18,9.4,4.3,1017.7,-3.9,-0.9,10.0,7.3,4.9,1021.0,-4.5,-1.3,10.0,6.9,3.3,1019.8,-4.2,-0.8,9.9,5.8,3.4,1022.2,-3.9,-0.9,10.0
2018-02-19,4.9,3.8,1021.1,-3.3,0.5,10.0,5.0,4.0,1023.8,-3.7,-0.3,10.0,7.9,3.4,1020.8,-2.8,-0.6,10.0,6.1,3.2,1023.0,-2.3,-0.3,10.0
2018-02-20,5.2,3.1,1020.4,-1.9,-1.6,10.0,6.8,5.2,1021.7,-2.0,-0.7,10.0,6.6,5.5,1020.2,-2.3,-1.3,10.0,5.8,4.3,1023.8,-3.2,-1.0,2.5
2018-02-21,4.4,3.3,1024.4,-3.2,-1.0,4.7,7.7,3.2,1026.8,-4.0,-2.0,10.0,9.1,2.1,1023.9,-3.4,-1.3,10.0,6.1,1.9,1027.1,-2.7,-0.9,9.3
2018-02-22,3.6,1.8,1026.3,-1.9,0.5,10.0,9.3,1.7,1027.6,-0.2,0.4,9.0,12.3,1.2,1022.4,2.3,1.4,0.3,5.7,2.8,1024.1,2.9,0.0,7.6
2018-02-23,3.4,2.3,1022.1,2.6,-0.6,0.0,12.1,4.4,1022.1,3.6,-1.0,0.0,15.3,5.2,1016.8,2.5,-1.7,3.1,9.2,5.3,1019.2,1.0,-3.3,3.8
2018-02-24,8.7,6.4,1018.7,1.0,-1.6,10.0,12.8,7.8,1023.1,-1.6,-1.3,9.4,13.3,5.8,1022.3,-4.3,-0.7,9.8,8.8,5.2,1026.8,-3.7,-0.5,2.8
2018-02-25,4.0,1.0,1026.4,-3.6,-0.9,0.2,9.5,3.7,1028.4,-2.5,-0.4,9.5,13.4,4.6,1023.9,0.9,-0.5,0.5,6.5,4.8,1024.6,1.7,-0.0,0.0
2018-02-26,4.6,3.8,1022.8,1.7,-2.0,0.0,14.1,7.4,1024.0,2.7,-0.6,4.0,17.1,8.2,1018.3,2.5,-1.1,1.0,9.9,6.9,1018.6,2.1,-2.9,0.0
2018-02-27,8.5,6.9,1016.0,1.3,-2.7,4.8,12.9,9.0,1015.5,1.8,-3.0,10.0,12.3,11.1,1010.4,0.8,-2.2,10.0,11.5,10.5,1012.2,-3.0,-0.1,10.0
2018-02-28,8.4,7.2,1014.3,-1.8,1.9,0.8,13.5,7.6,1018.0,-1.0,1.7,0.0,17.5,7.9,1013.5,1.5,1.7,0.0,9.6,8.0,1014.1,2.0,-0.3,0.0
2018-03-01,7.4,6.4,1013.0,0.8,-2.8,0.2,14.2,10.7,1013.8,-2.6,-3.2,8.4,13.9,11.7,1010.6,-3.7,-2.2,10.0,10.0,8.0,1014.5,-3.9,-3.5,10.0
2018-03-02,8.1,5.7,1014.1,-2.5,0.2,10.0,11.7,7.0,1014.9,-1.0,-0.2,6.6,14.2,10.4,1009.8,0.9,-0.5,10.0,12.5,11.0,1009.7,2.5,-1.6,10.0
2018-03-03,11.2,10.6,1008.6,-0.4,-0.3,10.0,16.3,13.0,1009.3,3.3,-0.3,9.8,20.9,16.5,1004.7,3.0,-1.6,8.3,18.8,16.4,1004.3,4.1,-2.5,3.3
2018-03-04,16.7,15.8,1001.9,1.2,-3.0,3.5,19.9,17.9,1005.6,1.9,-1.4,10.0,12.7,11.1,1006.7,-7.1,-0.9,10.0,8.7,7.0,1015.1,-7.5,-0.5,10.0
2018-03-05,7.0,5.4,1019.9,-5.7,-1.3,10.0,9.0,2.9,1024.7,-5.1,-4.5,6.6,12.5,2.5,1023.0,-3.5,-3.3,5.0,9.5,0.4,1025.9,-3.1,-2.4,8.9
2018-03-06,7.2,1.7,1024.4,-1.6,-1.7,5.9,9.0,2.7,1026.4,-1.9,-0.6,10.0,6.6,3.2,1023.9,-3.9,-2.1,10.0,6.0,3.8,1025.8,-3.2,-0.8,10.0
2018-03-07,5.4,4.2,1024.3,-3.0,0.3,10.0,6.3,4.0,1025.4,-4.3,0.6,10.0,8.8,2.4,1024.6,-4.7,0.3,10.0,5.9,2.7,1028.0,-1.9,-0.2,2.5
2018-03-08,3.1,2.6,1027.5,-1.0,-0.1,10.0,10.5,3.9,1031.6,-2.2,-1.3,7.8,13.1,2.7,1028.7,-2.9,-0.8,6.1,6.1,1.9,1031.0,-2.3,-2.1,0.0
2018-03-09,1.3,0.9,1029.1,-1.7,-0.8,0.0,11.0,3.5,1029.6,1.3,-1.2,0.2,14.0,3.4,1024.3,2.3,-0.2,0.1,7.3,3.6,1024.0,2.0,-2.0,0.0
2018-03-10,5.6,3.9,1022.2,2.0,-2.0,0.0,15.3,6.4,1023.2,3.0,-0.7,0.0,18.4,8.3,1019.3,2.8,-1.5,8.4,11.6,6.3,1020.9,1.8,-3.1,10.0
2018-03-11,10.0,4.7,1020.0,1.6,-3.1,3.1,15.6,7.0,1021.9,1.7,-2.7,10.0,19.2,9.5,1018.7,1.7,-0.9,9.9,11.9,9.4,1020.0,1.9,-1.2,8.2
2018-03-12,8.4,7.5,1017.7,1.2,-1.1,0.0,19.6,10.2,1018.5,2.7,-0.4,0.0,21.6,11.4,1014.1,2.4,0.2,8.5,13.6,10.7,1015.7,2.3,-1.6,1.2
2018-03-13,11.6,9.9,1013.5,1.7,-1.9,0.3,20.9,13.7,1014.8,3.5,-0.5,1.9,20.7,15.7,1011.3,2.7,-0.8,9.7,16.3,14.8,1012.7,1.9,-2.3,9.2
2018-03-14,14.7,13.8,1010.6,1.6,-1.3,3.4,19.2,16.4,1012.2,2.7,-1.5,6.4,20.7,17.0,1009.0,1.5,-0.6,10.0,16.2,15.7,1011.0,0.9,-1.8,9.1
2018-03-15,14.9,14.5,1009.7,1.3,-1.4,8.4,21.5,16.9,1012.3,2.9,-0.2,6.4,20.2,16.9,1009.4,-2.5,0.5,7.9,14.2,12.0,1016.8,-6.4,-1.7,9.8
2018-03-16,8.5,5.3,1020.3,-5.9,-3.0,10.0,10.9,3.9,1024.9,-5.1,-3.0,9.9,13.0,5.2,1021.7,-3.0,-2.4,9.4,10.8,4.5,1022.4,-0.7,-1.2,10.0
2018-03-17,9.8,5.9,1020.2,0.7,-2.2,5.3,14.3,7.8,1019.2,1.6,-4.2,4.7,14.8,12.8,1014.7,0.7,-2.2,10.0,13.6,12.6,1015.5,-1.7,-0.5,10.0
2018-03-18,9.4,8.1,1014.8,-4.4,0.2,10.0,7.5,6.2,1018.2,-4.5,0.2,10.0,7.8,5.0,1016.4,-4.6,-0.3,10.0,7.3,4.5,1019.8,-4.6,-0.2,10.0
2018-03-19,6.7,4.6,1018.2,-3.9,-0.3,10.0,8.0,5.0,1020.2,-5.0,-1.2,10.0,7.5,6.0,1018.3,-4.6,-0.2,10.0,6.8,5.8,1021.3,-4.2,0.0,10.0
2018-03-20,6.1,4.9,1021.2,-4.4,-0.0,10.0,9.4,2.4,1024.6,-5.9,-0.9,5.8,11.9,1.2,1023.0,-4.1,-0.3,2.0,5.3,0.3,1025.7,-2.2,-1.3,0.0
2018-03-21,0.9,-0.6,1024.0,-2.1,0.1,0.0,10.4,-0.9,1026.0,-0.6,-0.1,10.0,14.1,2.6,1021.1,0.2,1.1,3.2,6.2,3.7,1021.1,1.9,0.5,0.5
2018-03-22,4.8,3.0,1018.6,2.6,-0.2,0.0,15.4,6.1,1019.1,2.1,0.9,4.8,18.9,10.0,1014.6,1.7,1.8,0.3,9.8,8.3,1017.0,1.7,-1.5,0.1
2018-03-23,8.0,6.6,1017.2,1.3,-2.2,0.7,19.7,10.9,1018.9,2.9,-2.3,0.2,22.4,11.8,1015.0,2.6,-1.2,10.0,15.2,11.0,1017.3,2.0,-2.6,10.0
2018-03-24,13.7,11.1,1017.0,1.5,-0.5,10.0,17.6,14.1,1020.7,1.7,-1.6,9.9,18.9,13.0,1018.9,2.6,-0.1,10.0,13.8,12.3,1022.3,1.0,-1.2,10.0
