date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,-4.4,-6.4,1022.5,-0.1,0.3,7.7,0.5,-5.0,1022.0,0.7,-0.5,2.5,2.8,-3.5,1015.0,0.9,-0.9,8.4,-1.2,-2.4,1020.6,0.3,-0.5,9.5
2018-01-02,-2.0,-2.4,1021.3,-0.2,-0.3,9.7,-0.3,-2.6,1024.2,-0.7,-0.9,10.0,-0.5,-2.7,1023.2,-0.6,-1.1,10.0,-2.7,-4.1,1028.1,-0.7,-0.9,10.0
2018-01-03,-4.1,-5.9,1028.8,-0.6,-0.8,10.0,-4.0,-7.4,1029.4,-0.6,-1.0,10.0,-3.6,-7.4,1024.8,-0.2,-1.2,10.0,-5.0,-6.6,1026.2,-0.3,-0.7,9.8
2018-01-04,-5.5,-6.5,1024.2,-0.1,-0.4,10.0,-5.4,-8.2,1023.8,1.1,-0.4,7.2,-1.7,-5.7,1017.8,0.8,-1.0,8.8,-5.1,-5.8,1023.1,0.7,-0.2,9.7
2018-01-05,-6.6,-7.4,1020.9,1.0,-0.3,9.4,-4.1,-7.0,1019.3,1.5,-0.2,9.5,-3.4,-6.1,1015.6,0.9,-1.1,9.5,-6.2,-7.2,1017.8,0.7,-0.6,9.6
2018-01-06,-7.1,-8.4,1018.8,-0.9,0.1,9.6,-4.5,-7.1,1021.6,-1.3,-0.5,6.8,-2.8,-7.2,1019.0,-0.9,-1.1,9.9,-6.6,-9.1,1024.2,-0.8,-0.1,8.9
2018-01-07,-7.6,-10.8,1026.3,-1.1,-0.4,9.3,-8.1,-12.0,1027.8,-1.0,-0.8,1.3,-6.0,-11.6,1025.1,-1.1,-1.0,9.6,-8.8,-14.6,1037.3,-1.3,-0.6,10.0
2018-01-08,-11.2,-16.4,1037.7,-0.8,0.3,0.2,-8.2,-17.4,1037.0,-0.5,0.7,0.0,-5.0,-11.8,1030.0,0.6,-0.9,0.7,-8.5,-15.6,1035.3,-0.1,0.5,0.1
2018-01-09,-10.6,-15.8,1032.6,-0.2,0.7,0.0,-5.6,-12.9,1036.4,-0.7,0.1,0.0,-3.8,-9.9,1031.6,-0.1,-1.0,5.3,-8.0,-14.1,1036.0,-0.1,0.7,0.0
2018-01-10,-9.7,-14.5,1034.5,-0.2,0.7,0.0,-3.6,-10.8,1036.7,0.3,0.4,0.5,-0.9,-8.6,1030.2,0.3,-0.9,0.0,-7.1,-11.2,1034.9,-0.3,0.7,0.0
2018-01-11,-8.8,-11.6,1032.6,-0.2,0.8,0.4,-2.0,-11.7,1035.1,0.3,0.7,0.0,0.9,-15.2,1029.9,0.6,-0.8,0.0,-5.8,-14.9,1032.7,0.1,0.7,0.0
2018-01-12,-8.5,-14.9,1029.7,0.2,0.9,0.0,-3.9,-11.7,1030.8,1.1,0.2,1.8,-1.1,-8.5,1022.6,1.2,-0.7,7.3,-5.4,-7.3,1027.3,0.8,0.2,9.6
2018-01-13,-5.4,-6.5,1025.7,0.7,0.1,10.0,-3.1,-7.0,1026.6,1.4,0.4,10.0,-0.2,-5.7,1020.4,1.1,-0.4,2.9,-4.8,-5.6,1026.6,0.1,0.3,4.3
