date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,6.9,3.6,1020.2,-0.4,1.1,8.4,9.8,2.9,1022.3,-0.6,0.4,7.8,12.3,3.8,1016.3,-0.9,-1.9,8.6,8.9,5.7,1019.4,-0.9,0.2,7.0
2018-01-02,8.6,5.5,1017.9,0.1,0.5,8.9,9.9,5.3,1021.0,-1.2,1.1,9.8,11.0,5.0,1018.6,-1.4,0.7,9.8,9.4,4.7,1022.4,-0.7,1.6,9.0
2018-01-03,8.3,5.1,1022.1,-0.5,1.4,10.0,8.6,6.7,1025.0,-1.4,1.4,10.0,8.3,6.9,1020.5,-1.5,-0.4,10.0,7.0,6.2,1022.0,-1.7,0.1,10.0
2018-01-04,6.0,4.8,1021.4,-1.7,1.1,10.0,6.3,3.2,1024.3,-1.2,1.5,8.5,8.6,2.5,1018.6,-1.0,-1.8,10.0,7.0,3.4,1022.6,-1.0,-0.7,8.6
2018-01-05,6.2,3.7,1020.5,-0.8,-0.3,9.5,6.8,4.1,1020.3,-0.7,-0.2,9.9,8.0,3.3,1014.0,-0.9,-1.1,10.0,7.0,4.9,1014.8,-0.7,0.8,9.9
2018-01-06,6.1,5.1,1013.6,-1.0,1.1,10.0,6.8,5.4,1017.6,-1.8,0.4,9.8,7.6,4.4,1015.5,-1.8,0.5,9.6,6.2,4.7,1019.6,-0.9,1.3,9.7
2018-01-07,5.5,4.4,1018.8,-0.8,0.9,9.0,6.1,2.7,1021.6,-1.9,-0.0,9.9,7.5,-0.3,1018.2,-1.4,0.5,7.9,4.9,1.1,1025.4,-0.8,1.2,9.0
2018-01-08,4.3,-0.3,1030.3,-2.1,1.8,9.1,5.5,-7.4,1035.5,-2.4,1.3,6.3,7.6,-5.9,1029.1,-1.5,-0.3,0.2,4.0,-4.1,1033.5,0.3,0.8,3.3
2018-01-09,2.2,-1.8,1031.5,0.4,0.7,4.8,6.9,-3.1,1033.8,-0.3,-0.5,0.9,8.8,-3.2,1028.8,-0.4,-1.4,7.2,3.5,-1.9,1034.4,-0.8,1.1,1.1
2018-01-10,2.1,-1.0,1033.6,0.6,0.7,4.9,7.5,-0.8,1035.6,0.8,-0.5,1.4,10.4,-1.1,1029.1,-0.1,-1.7,4.8,6.1,-0.5,1032.0,-0.1,0.4,2.6
2018-01-11,3.8,0.4,1031.5,-0.1,0.9,5.9,8.6,0.4,1033.9,-0.6,0.2,4.0,11.1,0.8,1029.7,-0.7,-1.3,8.3,7.5,1.3,1032.3,0.3,0.9,5.7
2018-01-12,5.1,2.5,1029.4,0.1,0.2,4.9,8.8,2.7,1029.5,-0.7,-0.0,5.8,10.8,2.1,1022.8,-1.8,0.2,8.2,7.7,3.0,1026.8,-1.2,2.1,8.9
2018-01-13,6.2,2.7,1023.8,-0.2,1.2,8.9,7.0,2.8,1026.0,-1.1,1.6,9.4,9.8,1.7,1022.6,0.2,-0.0,9.1,5.1,1.9,1026.3,1.3,0.3,1.7
2018-01-14,3.9,2.2,1023.7,0.5,-0.0,2.2,9.0,3.5,1024.3,-0.1,-0.4,0.2,12.4,3.8,1017.0,-0.7,-1.5,5.8,6.7,3.5,1019.8,-0.4,1.2,4.0
2018-01-15,6.0,3.9,1016.7,0.2,0.7,4.5,9.2,4.4,1018.7,-1.5,0.1,8.1,10.1,4.5,1015.2,-1.4,0.5,9.8,7.7,6.3,1022.5,-1.4,2.0,9.4
2018-01-16,6.7,5.1,1022.6,0.1,1.8,9.3,11.6,3.6,1022.8,1.2,0.6,0.4,14.1,3.1,1012.7,0.7,-2.5,0.0,6.8,3.5,1016.5,-1.3,0.3,0.0
2018-01-17,5.5,3.6,1014.2,-0.4,0.7,0.0,9.7,4.9,1017.7,-1.7,0.0,2.6,11.9,4.2,1014.5,-1.5,-0.5,7.8,9.2,4.9,1018.7,-0.2,1.5,6.2
2018-01-18,6.5,5.0,1018.3,1.0,0.6,5.1,10.4,6.3,1020.6,0.4,0.1,6.5,12.2,4.9,1017.7,0.2,-1.1,9.3,9.3,6.5,1025.0,0.3,0.7,9.7
2018-01-19,7.7,5.4,1026.0,-0.4,1.5,8.8,10.6,5.5,1027.2,1.1,-0.2,4.7,12.4,4.5,1019.6,0.2,-1.4,5.8,9.7,5.1,1022.1,-0.2,-0.3,7.6
2018-01-20,8.5,5.7,1020.2,-0.1,0.4,7.1,9.8,6.4,1022.4,-0.6,-0.1,8.6,11.3,6.1,1018.4,-1.0,-0.9,8.5,8.8,7.4,1022.3,-0.4,0.8,9.6
2018-01-21,7.2,6.6,1021.0,0.2,0.7,6.3,11.8,7.1,1023.1,0.6,-0.8,1.0,15.3,5.8,1014.8,0.5,-2.2,0.5,10.0,5.6,1019.3,-0.0,-0.5,3.5
2018-01-22,6.6,5.6,1016.3,1.0,0.2,2.4,11.6,7.3,1016.4,-0.3,-0.6,3.9,13.5,7.4,1013.4,-1.3,-0.8,9.7,11.1,8.8,1018.2,-0.4,0.8,10.0
2018-01-23,10.2,8.1,1015.8,0.0,0.0,9.9,10.6,8.0,1018.1,-1.0,-0.2,9.8,12.0,7.5,1011.8,-1.2,-1.1,8.8,10.5,8.3,1013.9,-1.2,0.9,10.0
2018-01-24,9.7,8.8,1012.4,-0.8,1.2,10.0,10.0,8.6,1012.9,-0.8,1.0,8.5,11.0,8.0,1007.3,-1.8,-0.6,10.0,9.3,8.4,1010.9,-2.2,1.2,10.0
2018-01-25,7.2,6.4,1013.9,-2.7,2.0,10.0,4.6,2.6,1022.2,-2.6,1.4,9.8,6.8,2.1,1020.1,-2.1,-0.2,8.9,5.7,2.6,1025.3,-0.9,-0.3,9.3
2018-01-26,4.7,2.2,1023.8,-1.0,-1.1,9.6,4.1,1.4,1024.6,-1.3,-0.9,10.0,5.7,1.0,1017.9,-1.5,-1.5,10.0,4.5,1.8,1021.5,-1.8,-0.0,9.6
2018-01-27,2.8,1.3,1019.9,-1.8,0.4,9.8,3.9,0.8,1023.7,-1.9,0.0,10.0,5.8,-0.1,1020.2,-1.5,-0.9,9.0,4.3,1.3,1026.5,-1.2,0.2,9.5
2018-01-28,2.1,1.2,1025.4,-0.4,0.9,6.8,5.2,1.1,1029.3,-1.2,-0.3,7.0,7.6,-0.7,1025.0,-1.6,-1.0,9.1,4.6,1.5,1031.6,-0.9,0.6,9.6
2018-01-29,2.5,0.6,1030.1,0.2,0.9,6.0,6.1,0.9,1030.1,-0.5,-0.5,6.7,8.0,-1.3,1024.1,-0.4,-1.6,9.4,4.4,0.2,1028.9,-0.9,0.4,7.3
2018-01-30,3.4,1.2,1024.6,-0.1,0.0,5.2,6.1,1.1,1025.5,-1.2,-0.9,6.8,7.8,-0.9,1021.1,-0.7,-1.2,9.1,5.0,2.2,1031.5,-1.5,1.7,10.0
2018-01-31,2.4,1.8,1035.3,-1.6,2.3,9.5,5.2,-4.5,1036.3,-1.8,1.2,2.2,8.6,-4.5,1029.0,-0.7,-1.5,7.2,4.7,-3.5,1030.6,0.9,-0.3,0.7
2018-02-01,2.7,-1.8,1024.1,-0.0,-0.5,1.1,5.3,-1.1,1025.7,-1.7,0.3,7.8,6.8,-1.2,1024.6,-2.2,0.5,9.6,4.7,-0.4,1033.2,-0.4,1.7,9.4
2018-02-02,3.8,-1.5,1034.9,-0.3,1.7,9.7,7.3,-1.4,1037.6,-0.2,1.7,8.5,9.7,-5.0,1031.0,-1.0,-0.4,9.2,3.8,-1.8,1032.2,1.3,0.6,4.4
2018-02-03,3.4,-2.4,1030.8,0.8,0.2,6.9,7.6,-2.7,1032.1,-0.5,0.7,5.5,9.9,-3.2,1025.5,0.0,-1.5,9.5,7.5,-1.1,1029.8,-0.4,0.4,8.1
2018-02-04,4.2,0.5,1029.7,-0.8,1.0,9.0,5.5,1.6,1032.4,-0.8,1.2,8.6,7.5,1.6,1028.7,-0.3,-1.1,8.4,4.2,2.9,1035.1,-0.9,1.2,9.1
2018-02-05,2.9,1.9,1034.9,-0.1,0.7,2.4,6.7,1.9,1035.3,1.3,-0.1,8.2,8.9,-0.3,1027.5,-0.2,-2.2,9.5,5.8,0.0,1031.6,-0.5,0.5,8.1
2018-02-06,3.9,1.3,1028.1,-0.4,-0.0,6.4,7.1,1.1,1028.4,-0.4,-0.5,8.3,8.4,0.9,1022.6,-0.8,-1.0,9.7,5.0,2.2,1026.9,-0.5,1.3,9.9
2018-02-07,4.4,2.6,1025.2,-0.7,1.0,9.2,5.6,2.8,1027.9,-1.4,-0.1,9.6,8.9,2.3,1024.6,-0.2,-1.1,9.1,5.4,2.8,1026.8,0.9,-0.3,2.7
2018-02-08,3.4,2.0,1021.6,0.9,-0.4,8.7,8.7,3.2,1018.8,-0.3,-1.2,5.4,11.2,1.9,1010.9,-0.7,-1.0,8.9,8.2,2.5,1016.9,-1.6,2.0,9.9
2018-02-09,5.8,4.0,1017.8,-0.7,1.8,9.7,7.2,4.3,1020.1,-0.8,1.3,8.1,10.5,2.3,1015.6,-0.5,-0.8,9.6,7.2,4.4,1021.2,-0.3,1.3,9.0
2018-02-10,6.3,4.6,1025.2,-2.3,2.2,10.0,6.2,2.2,1031.3,-2.4,2.5,9.4,9.4,0.8,1026.1,-1.2,0.5,7.9,5.1,2.0,1030.0,0.7,0.9,10.0
2018-02-11,5.3,2.5,1029.2,0.3,0.6,6.7,7.8,2.3,1032.2,-1.3,-0.1,7.8,9.5,1.6,1028.5,-0.5,-0.8,8.9,6.7,3.1,1033.0,-0.2,1.4,8.9
2018-02-12,5.4,2.7,1032.9,-0.2,1.2,9.8,7.8,1.2,1035.4,-0.3,0.7,9.1,9.9,2.1,1028.6,0.5,-1.2,9.3,7.4,2.7,1030.3,0.4,-0.4,8.0
2018-02-13,6.2,3.4,1025.1,0.1,-0.5,6.5,9.1,3.6,1023.6,-0.2,-0.2,6.6,11.4,4.5,1017.6,-0.0,-1.1,8.5,7.4,5.2,1017.8,-0.2,1.3,9.9
2018-02-14,7.6,5.7,1013.7,-0.4,0.6,9.8,9.6,5.8,1014.4,-1.1,0.5,8.1,12.2,5.6,1011.7,-0.7,-0.8,10.0,10.0,6.3,1017.6,-1.2,1.5,9.8
