date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,0.3,-0.3,1012.1,-2.0,0.8,1.5,8.7,2.7,1012.3,-0.2,1.1,1.0,6.9,0.2,1013.8,-5.0,1.0,3.0,3.2,-2.3,1015.0,-6.6,1.6,1.6
2018-01-02,2.6,-3.1,1016.6,-6.4,1.0,0.1,8.5,-3.0,1015.9,-4.1,1.8,0.0,6.0,-0.0,1013.9,-0.6,-2.4,2.2,3.2,-0.8,1010.2,1.1,4.3,1.2
2018-01-03,1.8,-4.6,1012.1,-6.0,-0.6,1.3,6.9,-9.1,1012.8,-7.6,6.0,0.3,4.3,-5.2,1015.9,-7.0,4.7,0.0,2.2,-4.1,1017.6,-3.6,2.5,2.1
2018-01-04,1.3,-5.1,1019.0,-5.5,1.5,0.1,6.8,-5.0,1017.3,-7.3,0.6,0.0,3.9,-3.2,1018.4,-4.5,-1.0,0.1,0.6,-3.8,1018.8,-3.6,0.2,3.5
2018-01-05,-0.0,-2.6,1018.2,-2.3,-1.8,10.0,5.3,-1.9,1015.7,-0.5,-1.1,10.0,4.4,0.4,1013.9,-0.8,-2.0,4.2,1.9,-0.2,1011.6,-3.2,0.5,1.2
2018-01-06,-0.8,-2.5,1011.7,-1.3,1.3,0.0,8.3,-1.6,1010.8,1.9,1.4,0.6,7.9,-1.2,1011.0,-0.8,0.8,1.3,2.7,-2.9,1014.7,-6.8,1.4,0.5
2018-01-07,2.2,-4.3,1017.9,-5.7,0.9,1.2,8.3,-3.6,1019.9,-3.4,0.5,9.0,6.5,0.7,1022.9,0.5,-2.7,7.8,4.8,2.4,1023.3,0.6,-2.4,9.7
2018-01-08,2.8,0.7,1020.8,-2.6,0.5,10.0,9.9,5.7,1016.7,3.6,0.0,9.3,8.4,6.0,1011.2,2.2,0.9,10.0,8.1,6.9,1002.0,-0.9,1.7,10.0
2018-01-09,9.4,8.3,994.3,2.3,3.5,8.7,14.6,10.3,991.8,7.0,5.8,1.7,9.3,1.7,1000.2,2.7,7.2,0.0,4.0,-1.7,1005.6,3.0,3.9,0.0
2018-01-10,3.6,-1.7,1007.9,4.0,5.7,0.1,8.9,-2.7,1007.6,7.8,5.9,0.0,7.3,-0.5,1008.1,6.8,4.1,0.0,5.6,-0.5,1008.2,5.1,5.3,0.0
2018-01-11,-0.3,-1.5,1010.8,-1.3,1.5,2.4,8.0,-4.6,1011.6,3.5,3.3,0.1,5.3,-3.1,1013.7,1.7,4.2,0.0,1.5,-4.7,1016.3,1.2,1.2,0.0
2018-01-12,-1.2,-5.9,1017.7,-0.4,2.1,0.6,5.8,-8.3,1019.3,1.0,-2.3,0.7,3.8,-4.2,1021.2,-3.0,-1.8,7.9,-0.5,-4.5,1022.8,-3.7,-0.6,2.9
2018-01-13,-1.4,-4.8,1023.2,-3.4,0.5,0.9,4.8,-6.0,1022.1,0.2,-0.7,0.0,4.5,-1.0,1021.1,0.5,-2.0,0.4,1.1,-3.6,1024.2,-7.7,2.3,1.4
2018-01-14,0.4,-6.1,1026.7,-6.2,1.2,0.1,5.6,-5.7,1029.3,-5.3,-0.6,0.0,4.2,-1.7,1030.3,0.9,-2.9,0.0,1.4,-3.6,1030.1,2.5,-0.5,2.4
2018-01-15,0.2,-2.8,1027.5,2.4,2.1,3.0,10.6,2.3,1023.2,6.5,5.5,4.0,8.3,2.5,1020.0,4.2,2.9,0.0,2.3,0.2,1020.0,1.7,2.4,0.0
2018-01-16,0.2,-1.5,1021.0,-2.5,-1.0,3.5,9.4,1.6,1021.3,-0.6,-0.2,4.9,9.1,3.1,1018.7,3.4,0.4,9.2,3.7,2.2,1017.4,1.2,2.4,0.7
2018-01-17,6.2,4.8,1016.6,2.4,2.8,9.7,12.4,9.8,1014.6,3.5,2.3,10.0,10.5,9.5,1008.3,-0.4,3.7,10.0,7.1,5.0,1007.8,-6.5,1.2,9.3
2018-01-18,3.3,2.4,1012.2,-0.6,-1.8,0.6,11.8,6.8,1013.4,2.6,-0.1,8.2,10.5,8.1,1014.2,-0.6,-3.3,2.9,5.8,5.0,1016.2,-3.2,-0.1,5.3
2018-01-19,4.1,2.4,1018.8,-3.1,-1.8,4.9,7.7,-0.2,1019.2,-1.5,-2.8,6.2,8.0,2.4,1019.1,0.1,-3.7,8.6,6.2,2.9,1018.8,-2.5,-2.9,8.8
2018-01-20,4.5,1.2,1019.1,-4.2,-0.6,9.8,6.7,2.4,1017.5,-2.3,-1.2,4.5,7.0,4.5,1016.6,1.0,-1.5,0.2,2.8,2.3,1016.9,-2.2,-0.7,9.2
2018-01-21,2.9,2.6,1016.8,-1.7,-0.8,7.3,7.7,4.2,1015.8,-0.8,-0.9,2.7,8.3,4.0,1015.6,2.8,-0.2,0.7,3.0,-0.5,1019.4,-4.9,-2.9,10.0
2018-01-22,2.0,-0.7,1021.0,-3.1,-0.9,9.8,3.4,-0.1,1019.2,-5.7,-3.2,10.0,0.9,-0.4,1012.6,-10.0,0.7,10.0,1.6,-0.2,1007.7,-9.4,3.2,9.8
2018-01-23,-0.4,-2.5,1008.2,2.2,0.2,3.4,6.4,2.3,1003.6,7.9,7.0,0.0,5.3,-0.7,1005.9,5.8,5.9,0.0,0.4,-5.4,1008.3,3.0,6.3,4.1
2018-01-24,-1.4,-6.7,1008.2,0.9,5.5,6.3,2.5,-4.7,1004.6,4.6,5.5,0.5,0.4,-5.5,1006.9,-2.9,4.0,4.0,-4.7,-9.1,1009.2,-4.4,-1.1,2.2
2018-01-25,-7.0,-10.4,1011.0,-1.6,-2.0,0.4,0.3,-9.5,1011.3,-3.8,-0.5,6.3,-1.8,-7.5,1010.5,-1.3,-3.8,0.2,-6.6,-10.3,1008.3,-3.9,0.0,0.1
2018-01-26,-8.2,-11.0,1007.4,-3.2,-0.7,0.1,0.5,-7.6,1006.7,-6.8,-0.5,5.2,-1.2,-8.4,1008.7,-8.5,-0.5,1.3,-3.4,-10.2,1011.3,-5.3,0.7,0.0
2018-01-27,-8.2,-11.8,1014.1,-2.0,3.0,0.0,3.3,-8.1,1015.0,-5.3,3.3,0.0,1.1,-5.8,1017.6,-6.6,0.7,0.0,-1.2,-6.5,1019.7,-4.5,0.0,0.0
2018-01-28,-3.3,-6.4,1019.5,-2.7,-0.3,1.0,4.0,-4.1,1016.9,2.3,-1.5,9.5,3.6,0.1,1013.0,1.0,-0.9,0.9,-1.0,-2.5,1009.1,0.6,2.4,5.8
2018-01-29,-2.4,-3.7,1007.1,-1.8,-0.6,3.3,6.0,0.3,1007.0,-1.4,-3.0,0.9,5.5,3.0,1005.6,-1.3,-5.5,2.4,1.3,0.4,1008.4,-5.3,-0.2,4.1
2018-01-30,0.3,-5.5,1013.3,-6.1,-1.3,8.1,3.0,-6.5,1015.8,-3.5,-1.8,2.6,4.2,-2.3,1019.0,1.4,-1.5,4.5,1.3,-2.3,1020.3,-3.8,-1.1,3.1
