date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,-15.1,-20.6,1025.8,0.7,1.2,0.1,-9.6,-18.3,1025.3,0.1,1.8,0.0,-12.8,-19.2,1025.0,-1.8,0.6,6.1,-16.9,-20.6,1026.1,-0.0,2.2,4.7
2018-01-02,-17.4,-22.3,1027.4,0.6,1.7,5.3,-13.1,-20.7,1026.7,-1.3,3.6,3.7,-15.5,-21.0,1029.2,-1.1,2.4,0.9,-18.2,-21.8,1031.3,-0.1,1.9,4.9
2018-01-03,-17.1,-20.9,1031.9,1.2,1.0,8.0,-11.8,-18.9,1031.4,-0.7,2.8,5.0,-14.2,-19.1,1031.7,-0.9,2.3,1.7,-17.1,-20.4,1032.8,0.1,1.9,2.8
2018-01-04,-17.2,-21.0,1032.2,1.1,1.3,0.0,-11.4,-19.3,1030.7,-0.3,2.7,0.0,-13.5,-19.3,1027.6,-0.6,1.5,0.0,-15.2,-19.9,1026.1,1.3,1.0,0.0
2018-01-05,-17.4,-20.9,1023.1,1.5,0.5,0.0,-9.7,-17.8,1019.7,1.3,1.5,0.0,-13.1,-18.5,1017.5,-1.1,1.9,0.2,-17.9,-21.9,1019.7,-0.8,2.4,1.8
2018-01-06,-17.0,-20.6,1021.6,0.1,1.9,0.6,-9.5,-17.3,1021.5,0.2,2.8,0.0,-11.1,-17.1,1021.8,-0.5,2.3,0.1,-15.4,-18.7,1023.3,1.5,1.1,0.0
2018-01-07,-17.1,-20.0,1023.4,2.0,0.8,0.1,-6.7,-16.3,1020.9,2.2,1.4,9.5,-6.7,-15.1,1018.2,2.2,0.7,10.0,-9.5,-15.7,1016.4,1.6,0.5,10.0
2018-01-08,-9.0,-14.5,1013.2,0.9,0.4,10.0,-4.4,-8.9,1009.2,1.3,1.1,9.7,-6.4,-9.1,1005.0,-1.1,-0.9,9.6,-8.6,-9.8,1002.3,-1.3,0.1,9.9
2018-01-09,-9.0,-10.7,1001.3,-1.8,0.0,10.0,-9.0,-13.8,1002.7,-2.5,2.8,9.2,-12.2,-16.7,1007.1,-1.6,3.5,9.0,-17.3,-21.6,1010.9,-1.2,2.6,10.0
2018-01-10,-19.5,-23.5,1013.7,-1.1,2.5,10.0,-18.8,-24.7,1016.3,-1.8,3.1,9.8,-20.5,-25.7,1020.8,-1.8,2.6,9.9,-23.9,-27.8,1024.3,-0.9,2.0,9.9
