date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,-20.0,-23.4,1026.2,-1.1,2.0,0.4,-14.8,-22.9,1026.8,-1.7,1.9,1.6,-14.3,-20.7,1026.8,-0.1,2.3,9.0,-16.5,-21.4,1027.7,-1.5,2.6,9.6
2018-01-02,-15.2,-20.2,1027.8,-1.9,2.6,10.0,-11.8,-19.9,1029.7,-3.1,2.8,9.9,-11.9,-19.6,1030.2,-1.4,2.4,8.6,-14.4,-20.3,1032.7,-2.5,2.5,3.4
2018-01-03,-16.5,-21.7,1033.2,-2.1,2.0,2.2,-12.5,-21.2,1034.2,-2.5,1.9,0.0,-12.0,-20.1,1033.4,-0.2,2.4,0.0,-14.4,-19.2,1033.4,-2.0,2.2,0.0
2018-01-04,-15.8,-20.0,1032.8,-1.2,2.3,0.0,-10.5,-20.3,1031.1,-0.9,2.4,0.0,-10.2,-19.7,1027.3,1.4,2.0,0.0,-13.8,-20.0,1024.8,-1.7,2.3,0.0
2018-01-05,-16.0,-20.5,1022.5,-1.3,2.2,0.0,-11.2,-19.9,1021.7,-2.2,2.4,0.5,-10.8,-18.4,1021.1,-1.8,2.1,0.0,-14.1,-18.9,1022.5,-1.9,2.2,0.0
2018-01-06,-16.0,-19.8,1021.9,0.4,2.3,0.0,-9.1,-18.3,1022.3,-0.0,2.6,0.0,-9.0,-17.2,1020.1,1.8,1.8,0.0,-12.5,-17.2,1020.3,-1.3,2.1,0.0
2018-01-07,-14.4,-18.0,1018.9,0.4,2.2,2.2,-7.7,-16.8,1017.5,1.6,1.0,0.7,-7.8,-15.7,1014.8,2.2,-0.6,9.9,-11.1,-15.6,1013.5,-0.9,-0.3,10.0
2018-01-08,-12.2,-16.9,1013.2,-3.2,0.1,10.0,-11.4,-17.2,1012.1,-3.9,0.3,10.0,-11.2,-15.6,1011.5,-4.1,-0.2,9.9,-13.4,-17.6,1011.4,-3.8,-0.4,8.8
2018-01-09,-16.5,-19.7,1011.6,-3.1,0.3,8.2,-14.7,-22.9,1013.1,-3.9,-0.3,9.4,-13.8,-21.8,1014.8,-1.8,0.7,9.4,-16.8,-24.7,1017.5,-3.7,1.0,2.6
2018-01-10,-19.9,-26.3,1020.5,-3.3,1.5,0.0,-17.8,-30.1,1024.3,-5.4,0.4,6.4,-18.3,-29.9,1026.8,-2.9,0.5,0.0,-20.5,-29.4,1029.8,-2.9,1.5,0.0
2018-01-11,-22.6,-29.5,1031.4,-2.3,1.7,0.0,-18.3,-30.5,1032.3,-2.2,1.5,0.0,-17.5,-30.3,1029.8,1.7,1.4,0.0,-20.5,-30.0,1027.4,1.4,1.7,5.5
2018-01-12,-21.5,-29.7,1025.8,1.2,0.2,10.0,-16.0,-28.6,1026.3,0.7,0.1,1.4,-15.7,-26.3,1027.5,0.5,-0.7,0.0,-19.0,-26.8,1030.0,0.5,0.3,0.0
2018-01-13,-22.4,-26.9,1031.0,1.6,-0.2,0.6,-15.0,-26.0,1030.7,3.2,-0.1,9.9,-14.9,-22.8,1024.8,3.9,-1.2,9.4,-15.0,-20.3,1019.5,3.2,-0.6,8.3
2018-01-14,-14.7,-17.0,1015.6,1.0,-0.0,10.0,-12.2,-17.7,1016.0,-2.8,0.5,9.9,-12.0,-17.4,1017.5,-2.9,0.5,10.0,-14.4,-18.7,1021.1,-2.2,1.2,9.5
2018-01-15,-17.9,-20.7,1023.2,-1.0,1.9,0.0,-12.3,-20.7,1024.9,0.0,1.4,0.0,-12.4,-20.4,1022.4,1.7,-1.1,0.0,-14.7,-19.4,1021.5,1.3,-1.3,10.0
2018-01-16,-14.8,-18.5,1019.6,-0.1,-1.1,10.0,-11.0,-17.3,1020.9,0.5,-0.2,0.0,-11.9,-16.5,1018.2,2.2,-1.2,9.7,-13.2,-15.9,1016.9,2.4,-1.2,10.0
2018-01-17,-13.3,-15.4,1014.0,2.4,-1.1,10.0,-9.8,-14.5,1013.7,0.8,1.0,7.5,-10.7,-16.4,1015.7,-1.4,1.1,1.7,-15.9,-21.7,1019.0,-2.1,1.8,0.0
2018-01-18,-20.0,-23.2,1020.2,-1.1,0.8,0.0,-13.7,-24.4,1022.5,0.1,0.9,0.0,-14.0,-23.9,1021.7,2.4,-0.2,1.9,-17.2,-22.5,1019.6,2.8,-1.2,3.5
2018-01-19,-18.5,-22.2,1015.4,1.5,-0.1,0.0,-13.6,-22.5,1016.7,-1.6,1.7,0.0,-12.4,-20.8,1017.0,2.0,1.8,0.0,-16.6,-26.6,1021.3,-2.1,3.6,0.0
2018-01-20,-20.6,-29.4,1022.3,-0.3,3.3,0.0,-18.3,-31.0,1023.4,-2.1,5.5,0.0,-18.4,-30.0,1025.9,-2.0,3.4,0.0,-21.2,-29.4,1029.1,-2.1,2.8,0.0
2018-01-21,-24.0,-30.4,1030.5,-1.1,2.4,0.0,-19.8,-31.7,1030.2,-1.7,3.1,0.0,-18.7,-30.5,1027.5,0.4,2.1,0.0,-22.9,-31.7,1028.0,-2.3,3.0,0.0
2018-01-22,-25.7,-33.2,1026.6,-0.8,2.8,0.0,-21.8,-34.2,1025.4,-2.2,2.7,0.0,-21.1,-33.3,1023.4,0.1,2.0,0.0,-24.6,-33.5,1023.9,-2.3,2.6,0.0
2018-01-23,-27.0,-34.4,1023.4,-1.8,2.0,7.1,-22.9,-34.9,1024.0,-3.5,2.1,7.6,-23.3,-36.3,1025.3,-1.3,1.7,9.3,-25.8,-35.7,1027.6,-3.0,2.6,0.0
2018-01-24,-28.1,-35.4,1030.3,-1.9,1.9,0.0,-24.0,-36.7,1033.0,-2.9,0.8,0.4,-23.6,-36.4,1035.2,-1.2,0.7,0.0,-27.5,-35.6,1037.3,-1.7,2.3,0.0
2018-01-25,-28.8,-35.5,1038.7,-2.1,1.8,0.0,-24.6,-38.3,1039.8,-3.3,2.3,2.7,-24.0,-37.0,1038.6,-1.9,1.2,0.0,-25.4,-33.9,1038.2,-2.5,2.8,0.1
2018-01-26,-26.7,-34.6,1037.9,-2.1,2.6,0.0,-20.0,-33.3,1036.3,-2.7,2.4,0.0,-17.7,-31.0,1033.4,-0.8,2.6,0.0,-21.6,-28.9,1033.0,-1.6,2.7,0.0
2018-01-27,-24.1,-30.0,1032.1,-1.0,2.7,0.0,-19.3,-32.5,1030.2,-1.8,4.0,0.0,-18.5,-31.7,1025.8,-0.5,3.2,0.0,-22.7,-32.3,1024.9,-1.0,3.4,0.0
2018-01-28,-25.1,-32.3,1022.0,-0.0,3.0,4.0,-19.4,-31.6,1020.7,-1.6,2.9,0.0,-18.0,-30.5,1019.3,0.5,2.0,7.8,-21.2,-28.3,1020.3,-2.3,2.4,0.4
2018-01-29,-23.6,-28.6,1019.6,-1.3,2.5,0.0,-17.2,-28.9,1018.8,-1.8,2.6,0.0,-15.4,-28.5,1017.0,2.0,1.4,0.0,-20.1,-25.7,1017.0,-1.7,2.0,0.0
2018-01-30,-22.9,-26.3,1017.6,-1.5,1.6,2.6,-15.9,-25.4,1018.8,-2.2,1.1,0.1,-14.6,-26.0,1020.7,-1.0,-0.9,0.0,-19.5,-24.8,1024.2,-2.2,2.6,0.0
2018-01-31,-21.5,-25.4,1025.8,-1.4,1.9,0.0,-14.6,-25.1,1027.3,-0.6,1.8,0.0,-13.0,-25.2,1026.7,2.1,0.7,7.1,-17.6,-23.9,1026.8,2.1,0.8,6.4
2018-02-01,-18.8,-23.6,1027.0,-0.1,0.7,5.0,-13.3,-22.6,1029.4,-1.2,0.8,0.0,-12.3,-21.9,1031.3,-1.6,0.5,4.1,-20.3,-23.5,1033.4,-1.1,1.9,4.2
2018-02-02,-20.3,-23.4,1033.9,-1.9,1.5,9.0,-14.3,-19.6,1035.2,-2.9,0.5,10.0,-13.5,-20.2,1035.3,-2.5,-0.3,9.9,-18.2,-21.7,1036.1,-2.2,0.4,7.5
2018-02-03,-21.6,-24.8,1036.4,-2.4,0.6,0.3,-15.9,-24.9,1036.6,-2.2,0.7,0.0,-14.8,-25.0,1035.1,-1.5,0.3,0.0,-22.0,-26.0,1034.5,-0.7,1.9,0.0
2018-02-04,-23.1,-26.8,1034.1,-2.2,0.9,0.0,-16.7,-26.3,1034.7,-2.4,0.3,3.2,-15.6,-25.2,1034.2,-1.9,0.1,0.0,-22.2,-25.9,1034.2,-1.6,1.3,6.6
2018-02-05,-22.7,-26.6,1034.3,-2.8,1.0,3.4,-17.2,-27.9,1034.4,-3.2,0.8,0.0,-16.5,-28.2,1032.4,-1.5,0.1,0.0,-23.3,-27.8,1031.9,0.3,2.0,0.3
2018-02-06,-24.8,-28.3,1031.5,-1.7,1.2,0.0,-17.3,-27.5,1032.2,-0.4,0.4,0.0,-15.8,-27.4,1030.5,0.3,-0.3,0.0,-22.0,-27.6,1031.0,1.0,1.2,0.0
2018-02-07,-25.0,-28.5,1029.9,1.0,1.7,0.0,-14.4,-27.5,1028.5,1.6,1.7,0.0,-13.6,-26.6,1023.6,2.4,0.8,0.0,-18.3,-24.4,1018.8,2.4,1.3,0.0
2018-02-08,-19.7,-23.8,1013.5,3.1,0.6,9.7,-10.8,-23.4,1010.4,4.0,1.5,0.8,-8.8,-22.4,1009.2,2.7,-1.0,0.0,-15.1,-20.9,1008.5,2.2,-0.7,2.8
2018-02-09,-17.3,-21.3,1009.8,-2.2,1.3,9.5,-11.2,-19.3,1013.3,-3.6,1.6,8.8,-9.7,-21.9,1016.6,-1.9,1.1,4.3,-15.2,-24.1,1019.9,-1.7,3.3,0.0
2018-02-10,-18.7,-25.4,1018.4,-0.9,3.4,2.8,-13.6,-27.4,1018.3,-1.8,3.9,3.8,-13.3,-30.4,1017.0,-1.6,3.1,9.6,-17.7,-28.1,1017.2,-0.8,2.8,3.7
2018-02-11,-21.3,-27.5,1014.7,-1.2,2.6,4.4,-16.0,-28.3,1014.8,-3.2,2.2,8.9,-14.5,-28.3,1013.5,-1.2,0.0,9.9,-18.6,-25.6,1014.3,0.5,1.7,9.9
2018-02-12,-19.0,-23.4,1013.6,-1.2,2.0,9.2,-12.6,-24.4,1015.2,-2.2,1.4,3.8,-11.5,-26.9,1014.1,-1.7,0.6,8.8,-17.4,-25.7,1014.9,-1.1,3.0,0.4
2018-02-13,-19.4,-23.6,1014.3,-0.6,2.5,0.0,-11.3,-24.3,1013.9,-0.7,2.2,0.0,-8.8,-24.4,1011.8,1.3,1.4,0.4,-14.9,-22.6,1013.2,-2.0,2.3,0.0
2018-02-14,-17.4,-21.7,1013.7,-2.0,2.0,0.0,-9.6,-23.0,1015.9,-3.6,1.9,0.0,-8.0,-23.3,1016.7,-1.3,2.1,0.0,-12.8,-21.2,1019.8,-1.8,3.3,0.0
2018-02-15,-16.5,-21.1,1019.5,0.0,2.7,0.0,-8.0,-22.3,1018.3,0.7,3.0,1.7,-5.8,-21.1,1014.1,1.6,0.3,4.0,-13.8,-20.7,1011.8,-1.0,2.0,4.0
2018-02-16,-13.7,-17.3,1012.6,-3.6,3.0,6.0,-10.4,-22.4,1017.1,-6.3,1.5,9.2,-10.0,-27.2,1017.6,-3.2,2.3,10.0,-14.5,-25.3,1020.5,-2.9,2.7,0.0
2018-02-17,-18.0,-25.1,1022.2,-1.7,2.4,0.0,-11.6,-26.8,1024.0,-3.1,2.0,0.0,-9.3,-26.8,1023.2,-0.5,1.5,0.0,-14.8,-23.7,1025.9,-2.2,2.4,0.0
2018-02-18,-17.8,-23.2,1026.5,-1.4,2.2,0.0,-10.0,-24.4,1026.2,-1.1,2.5,0.0,-7.3,-24.5,1023.1,0.9,1.7,0.5,-12.8,-20.6,1024.6,-2.1,2.7,0.0
2018-02-19,-16.0,-20.4,1024.5,-1.3,2.6,0.0,-8.0,-22.1,1023.5,-1.3,3.4,0.9,-6.1,-22.8,1020.3,-2.0,2.2,8.4,-12.4,-21.1,1022.5,-1.9,3.1,0.0
2018-02-20,-16.3,-21.3,1023.4,-1.7,2.2,0.0,-9.2,-24.5,1024.4,-2.0,2.6,0.0,-7.5,-26.3,1022.0,-1.2,1.5,9.8,-13.6,-23.3,1022.9,-1.0,2.8,0.0
2018-02-21,-16.6,-21.8,1021.0,0.1,2.6,0.0,-8.0,-21.5,1018.0,1.1,2.3,5.2,-5.7,-19.6,1013.6,1.5,0.9,10.0,-11.8,-19.6,1014.1,-0.8,2.7,0.0
2018-02-22,-15.6,-19.2,1015.2,-1.6,2.2,0.0,-8.8,-21.5,1016.8,-2.3,1.5,0.0,-8.1,-26.8,1016.7,-1.1,0.5,10.0,-14.9,-22.3,1018.8,1.6,-1.6,6.8
2018-02-23,-18.4,-21.8,1021.1,-1.5,0.4,1.4,-9.5,-23.4,1024.5,-1.9,0.4,1.3,-8.9,-27.2,1026.8,-1.6,0.2,10.0,-15.2,-25.2,1031.1,-1.2,2.7,0.0
2018-02-24,-17.9,-24.1,1033.5,-1.4,2.1,0.0,-9.7,-26.1,1033.7,-0.4,1.6,0.0,-7.6,-26.7,1030.4,1.1,0.4,0.0,-13.6,-24.6,1028.7,2.8,-1.2,3.9
2018-02-25,-15.1,-23.3,1026.5,2.0,-1.2,9.8,-8.4,-22.2,1027.2,1.6,-0.5,9.7,-6.1,-21.6,1026.4,-0.2,0.2,9.8,-13.9,-20.5,1028.8,0.3,-1.8,3.2
2018-02-26,-17.0,-20.3,1030.0,-0.0,-2.1,3.2,-6.5,-21.0,1031.2,0.6,-2.2,9.9,-5.5,-22.1,1028.7,-0.3,-1.9,9.9,-11.5,-20.8,1030.4,-0.5,-1.9,9.8
2018-02-27,-15.8,-20.0,1031.4,-1.6,-1.1,6.1,-6.7,-21.5,1031.1,0.3,-0.5,0.0,-5.6,-21.8,1027.5,1.6,-0.8,4.0,-10.6,-21.3,1025.7,2.2,-1.3,9.8
2018-02-28,-12.0,-20.5,1021.8,1.7,-2.3,10.0,-8.4,-17.0,1016.2,-0.5,-3.8,10.0,-8.6,-13.4,1011.0,-3.8,-1.6,10.0,-10.1,-13.2,1009.4,-4.8,0.6,10.0
2018-03-01,-12.8,-16.0,1008.8,-4.1,2.2,9.4,-7.2,-18.1,1010.8,-6.0,3.3,9.4,-5.4,-22.1,1010.7,-3.2,2.8,9.5,-11.3,-21.4,1013.2,-1.2,3.2,0.0
2018-03-02,-15.4,-21.1,1011.6,1.2,1.6,9.8,-8.6,-21.8,1008.1,3.4,-0.4,10.0,-5.4,-22.4,1004.8,1.1,-0.2,0.1,-13.1,-19.8,1010.0,-1.5,-1.5,4.1
2018-03-03,-13.3,-17.6,1010.3,-1.0,-2.8,10.0,-10.3,-14.4,1005.8,-1.5,-4.3,10.0,-8.8,-12.4,1006.0,-3.0,0.8,10.0,-11.6,-14.4,1014.1,-2.8,2.3,3.4
2018-03-04,-17.0,-20.4,1020.8,-1.2,2.9,0.0,-8.9,-17.3,1024.6,-1.2,4.7,0.0,-7.8,-18.4,1023.6,-1.3,3.5,0.0,-13.9,-20.8,1027.8,-0.5,3.8,0.0
2018-03-05,-17.5,-22.8,1028.7,-0.9,3.2,0.0,-10.3,-20.2,1029.5,-2.4,4.3,0.0,-8.9,-20.3,1027.3,-1.8,3.4,10.0,-14.7,-21.9,1031.8,-1.6,3.6,0.3
