date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,15.5,11.8,1018.7,-1.1,-2.4,1.7,18.6,11.4,1020.7,1.7,-4.7,5.1,20.5,12.4,1016.8,0.9,-1.6,1.3,17.1,14.7,1019.1,2.1,-3.8,0.1
2018-01-02,16.1,14.7,1017.4,1.1,-4.0,0.0,18.9,14.5,1018.9,0.8,-5.4,1.3,21.7,15.4,1015.5,1.7,-2.5,1.6,18.3,14.8,1018.6,1.8,-5.4,3.1
2018-01-03,17.6,14.3,1016.5,-0.1,-4.5,10.0,20.0,15.2,1018.5,-0.7,-4.9,9.2,22.2,17.0,1014.3,2.3,-3.5,9.3,19.3,16.1,1017.4,1.2,-4.9,8.8
2018-01-04,18.8,16.1,1014.5,1.3,-5.5,3.1,21.0,17.1,1016.6,1.8,-4.1,6.1,22.2,18.2,1012.8,2.1,-3.2,9.9,19.5,17.8,1014.9,0.8,-4.8,6.6
2018-01-05,19.0,17.9,1013.4,0.2,-4.0,6.1,20.9,18.2,1015.7,-2.0,-2.5,10.0,19.1,15.5,1012.4,-4.9,0.2,3.7,18.3,15.5,1014.2,-2.8,-1.2,10.0
2018-01-06,18.4,16.4,1012.1,-1.0,-3.0,10.0,19.3,16.9,1014.4,0.7,-4.9,10.0,19.2,16.9,1010.7,-1.3,-4.2,10.0,18.9,17.5,1012.6,0.2,-3.8,10.0
2018-01-07,18.4,17.4,1011.4,1.2,-4.2,10.0,19.5,17.6,1013.6,1.8,-4.6,10.0,21.1,18.6,1009.7,1.8,-3.5,10.0,19.5,18.1,1011.5,3.4,-4.4,10.0
2018-01-08,18.5,17.9,1011.0,-4.2,0.0,10.0,10.1,7.4,1017.8,-11.8,0.9,10.0,9.9,5.6,1017.8,-11.2,-1.7,10.0,9.9,4.5,1022.3,-9.0,-2.7,10.0
2018-01-09,8.9,3.7,1023.5,-9.6,-2.0,10.0,8.8,3.8,1027.0,-7.6,-2.4,10.0,10.2,1.8,1022.9,-6.8,-2.2,10.0,11.5,-0.2,1025.5,-6.3,-2.4,10.0
2018-01-10,12.1,0.5,1025.6,-5.8,-3.0,10.0,12.3,0.0,1028.5,-6.0,-1.6,10.0,12.8,0.5,1024.3,-6.4,-1.6,10.0,13.1,1.5,1026.6,-4.5,-3.2,10.0
