date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,-18.6,-20.8,1027.6,0.3,1.0,10.0,-15.1,-18.5,1028.6,-0.2,1.0,10.0,-15.3,-17.6,1028.7,-0.5,1.6,9.8,-18.6,-21.1,1030.3,-1.2,1.5,10.0
2018-01-02,-20.5,-23.8,1032.1,-1.1,1.7,9.9,-18.3,-23.0,1033.6,-1.2,1.4,9.9,-18.9,-22.2,1034.3,-1.0,1.8,8.1,-20.8,-24.2,1035.7,-0.9,1.9,0.0
2018-01-03,-22.2,-25.6,1035.0,-0.2,2.0,2.1,-16.3,-21.5,1034.6,-0.1,1.1,0.0,-15.7,-19.7,1033.5,-0.1,2.3,0.0,-19.6,-23.5,1032.7,0.9,2.0,0.0
2018-01-04,-20.0,-23.6,1029.6,1.2,1.8,0.0,-15.4,-20.6,1026.7,0.9,1.7,0.0,-15.6,-18.7,1023.7,0.7,2.1,1.3,-20.5,-23.8,1022.5,0.2,1.6,0.1
2018-01-05,-24.6,-27.9,1021.9,0.4,1.4,8.4,-19.0,-23.2,1021.9,0.2,0.8,0.7,-16.4,-19.8,1019.5,0.8,2.1,1.2,-19.1,-22.4,1018.2,0.8,1.8,2.6
2018-01-06,-20.3,-23.6,1016.7,1.2,1.8,0.2,-15.4,-19.4,1016.2,0.6,1.5,0.0,-13.8,-16.8,1014.5,0.8,2.4,0.1,-17.1,-20.2,1014.1,1.0,1.9,4.2
2018-01-07,-19.7,-22.4,1013.8,1.3,1.1,9.7,-15.2,-18.9,1015.2,0.1,0.6,10.0,-17.3,-19.7,1016.3,-1.0,0.5,8.0,-24.8,-27.5,1018.4,0.2,1.0,9.7
2018-01-08,-25.7,-28.5,1017.9,0.8,1.0,8.7,-18.4,-21.9,1017.8,0.0,0.3,10.0,-20.1,-22.4,1018.0,-1.4,0.7,8.7,-25.2,-27.9,1019.0,-1.7,1.2,0.0
2018-01-09,-26.9,-30.7,1019.8,-1.7,1.5,2.6,-23.1,-28.3,1021.5,-1.9,1.2,9.2,-23.2,-28.0,1024.3,-2.5,0.8,8.9,-28.0,-31.6,1027.5,-1.8,1.2,1.3
2018-01-10,-29.9,-33.6,1030.0,-1.5,1.4,0.0,-26.1,-32.2,1032.2,-1.6,1.5,0.0,-26.0,-30.2,1032.8,-1.2,1.8,0.0,-29.5,-33.8,1033.0,-0.2,1.7,0.0
2018-01-11,-32.7,-36.5,1030.4,0.9,2.0,0.0,-23.3,-30.0,1028.2,0.9,1.4,4.1,-22.4,-27.0,1024.6,1.0,1.8,9.3,-23.0,-27.4,1023.4,1.1,1.4,3.0
2018-01-12,-27.6,-31.1,1023.7,1.1,1.3,1.2,-22.7,-27.6,1026.4,0.3,0.6,2.2,-23.4,-26.8,1026.1,0.5,0.8,0.0,-27.9,-31.0,1028.0,1.4,0.8,1.6
2018-01-13,-27.0,-30.0,1024.3,1.9,0.1,9.8,-16.4,-21.7,1019.7,0.4,-0.4,10.0,-17.5,-19.8,1013.5,-1.1,-0.7,10.0,-21.2,-23.7,1014.6,-0.1,1.3,9.8
2018-01-14,-24.8,-27.5,1017.2,-0.1,1.5,6.3,-22.0,-25.9,1021.1,0.0,0.4,7.2,-21.5,-24.4,1020.8,0.7,0.4,0.0,-28.9,-31.9,1022.1,1.2,1.4,5.6
2018-01-15,-29.8,-32.9,1021.7,1.6,1.2,1.8,-21.1,-25.6,1021.9,0.9,0.8,8.0,-21.1,-24.4,1019.5,0.9,1.4,0.0,-29.1,-32.1,1020.2,1.6,1.1,0.0
2018-01-16,-30.0,-33.1,1018.5,1.6,0.9,3.6,-21.7,-26.3,1018.2,0.7,0.3,7.3,-22.0,-25.1,1015.1,0.8,-0.7,9.8,-25.8,-28.6,1015.6,0.9,0.5,10.0
2018-01-17,-26.4,-29.2,1014.9,-0.8,-0.4,10.0,-23.6,-27.7,1016.7,-0.3,0.3,9.6,-24.4,-27.5,1016.9,-1.0,0.2,6.7,-33.4,-36.7,1017.5,0.9,1.4,1.6
2018-01-18,-35.9,-39.4,1017.5,1.2,1.2,2.3,-24.6,-29.3,1018.0,0.6,0.1,7.9,-20.1,-23.6,1015.3,-0.4,-1.2,9.8,-26.5,-29.3,1017.0,-0.6,-0.9,9.9
2018-01-19,-29.7,-32.8,1016.7,-0.8,-0.7,10.0,-24.7,-28.4,1016.4,-1.3,-0.7,10.0,-24.2,-26.9,1018.6,-1.1,0.4,10.0,-24.6,-27.3,1020.1,-1.4,0.6,10.0
2018-01-20,-25.3,-28.9,1022.8,-2.5,0.9,10.0,-27.1,-32.7,1027.2,-2.1,1.4,9.9,-28.5,-32.2,1030.5,-1.1,1.6,8.2,-33.8,-38.0,1032.7,-0.6,1.8,4.0
2018-01-21,-37.4,-41.5,1032.7,-0.2,1.9,0.0,-31.7,-38.2,1032.1,-0.5,1.7,3.6,-30.9,-35.3,1029.2,-0.4,1.9,0.0,-34.4,-38.7,1027.9,-0.5,2.0,0.0
2018-01-22,-36.3,-40.7,1026.6,-0.7,2.0,0.0,-31.8,-38.5,1025.9,-1.1,1.7,0.0,-32.4,-36.5,1025.3,-0.6,1.8,0.1,-35.7,-40.2,1025.0,-0.6,1.9,0.0
