date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,16.2,9.0,1022.1,-8.4,-4.0,2.3,17.4,7.6,1023.7,-7.3,-3.9,3.9,17.5,7.7,1022.2,-7.9,-4.6,3.2,17.1,7.4,1024.0,-5.6,-6.1,4.7
2018-01-02,17.1,7.5,1023.9,-5.8,-5.6,10.0,17.6,8.3,1024.3,-4.1,-5.7,4.8,18.3,7.5,1022.2,-2.5,-5.8,7.9,18.4,8.5,1023.2,-2.4,-5.5,7.5
2018-01-03,17.8,9.5,1022.9,-2.9,-4.9,5.0,18.4,9.4,1023.5,-3.3,-5.2,7.0,19.1,9.6,1021.9,-2.5,-6.0,10.0,19.3,10.3,1023.3,-1.3,-6.2,8.8
2018-01-04,19.1,10.8,1021.2,-1.5,-5.2,8.5,19.0,12.9,1020.6,0.0,-6.1,8.8,20.3,14.2,1018.2,5.1,-3.8,9.1,21.0,15.4,1016.1,9.4,-1.7,10.0
2018-01-05,22.0,17.2,1012.6,11.2,2.6,9.9,20.6,18.8,1014.4,-5.2,8.7,10.0,19.7,14.4,1015.3,-10.9,-2.0,10.0,18.3,11.9,1017.9,-9.6,-0.5,10.0
2018-01-06,17.0,9.1,1018.7,-8.1,-1.5,10.0,17.5,9.4,1020.1,-5.3,-2.9,9.9,17.5,10.4,1018.9,-5.6,-3.5,10.0,17.3,11.8,1019.5,-2.9,-6.2,10.0
2018-01-07,17.2,13.9,1018.4,-0.2,-5.8,10.0,18.3,15.4,1019.5,2.3,-6.7,10.0,19.6,15.3,1017.8,5.2,-3.8,9.0,20.1,15.9,1016.0,9.7,-5.0,7.1
2018-01-08,21.7,18.0,1012.7,11.0,-3.2,10.0,21.8,20.4,1011.1,4.8,-1.2,9.7,19.3,17.3,1010.0,-12.0,0.4,8.8,18.1,14.1,1014.9,-11.0,3.6,10.0
2018-01-09,16.3,10.8,1017.6,-11.2,6.1,10.0,14.7,7.0,1019.7,-9.3,5.7,10.0,14.3,6.3,1020.5,-8.6,4.9,10.0,14.1,6.0,1021.8,-7.2,3.6,10.0
2018-01-10,14.3,5.6,1022.3,-8.6,4.7,9.9,14.2,5.4,1023.6,-7.9,5.0,9.8,14.5,4.4,1022.9,-9.6,5.4,9.8,13.8,3.1,1024.5,-9.2,3.9,7.1
2018-01-11,13.0,3.6,1024.9,-9.6,3.6,10.0,13.3,3.5,1025.6,-8.2,3.6,7.7,13.0,5.0,1024.7,-10.2,2.8,5.6,12.2,6.3,1027.1,-12.8,1.1,2.1
2018-01-12,12.0,4.5,1026.5,-10.9,1.7,4.1,11.8,5.0,1027.2,-10.5,1.3,5.1,12.2,4.2,1026.3,-10.7,0.7,3.3,12.4,3.6,1027.8,-9.2,-0.6,7.1
2018-01-13,12.9,6.2,1026.9,-8.5,-2.6,9.9,14.1,6.7,1028.0,-8.4,-5.1,5.4,15.1,5.7,1026.4,-7.9,-6.9,7.5,15.6,5.3,1027.2,-4.6,-8.2,3.6
2018-01-14,16.2,5.1,1025.9,-4.1,-7.5,7.5,16.4,7.5,1025.1,-2.1,-8.5,2.6,18.3,6.9,1022.8,-0.9,-8.0,6.8,18.0,9.6,1023.2,-0.3,-8.6,2.9
2018-01-15,18.2,10.2,1021.8,-0.6,-7.5,3.3,19.4,11.1,1022.1,-1.2,-7.3,0.4,19.7,11.0,1020.3,1.3,-9.0,6.1,19.5,11.6,1021.1,3.4,-8.7,3.0
2018-01-16,19.5,12.9,1019.0,3.0,-9.6,5.8,20.2,12.2,1018.9,5.6,-8.7,3.2,21.5,12.8,1015.4,6.8,-5.3,6.9,22.1,13.8,1015.3,8.3,-3.6,9.9
