date,T_21z,Td_21z,SLP_21z,V_21z,U_21z,CC_21z,T_3z,Td_3z,SLP_3z,V_3z,U_3z,CC_3z,T_9z,Td_9z,SLP_9z,V_9z,U_9z,CC_9z,T_15z,Td_15z,SLP_15z,V_15z,U_15z,CC_15z
2018-01-01,11.3,7.0,1021.7,-1.3,-1.5,1.6,18.0,4.1,1022.5,-1.3,-3.3,6.0,19.0,8.0,1018.7,0.7,-2.8,0.4,13.9,9.0,1021.8,-0.3,-2.1,1.7
2018-01-02,11.8,8.5,1020.6,-1.4,-0.6,0.2,20.5,9.1,1021.2,-1.2,-3.2,0.3,20.7,11.2,1017.2,1.0,-2.7,4.1,14.7,12.3,1020.7,-0.4,-1.3,8.8
2018-01-03,12.6,11.5,1019.7,-0.9,0.5,8.8,22.1,11.6,1020.4,-0.1,-2.7,9.9,20.7,12.9,1017.2,2.0,-2.5,10.0,15.6,13.4,1020.3,-0.1,-2.1,5.0
2018-01-04,14.3,12.6,1018.3,-1.2,-1.9,3.4,19.2,13.0,1019.2,-1.4,-3.1,9.9,17.6,14.0,1016.8,0.4,-2.2,10.0,16.5,14.4,1017.0,-0.0,-0.3,10.0
2018-01-05,16.5,15.9,1015.5,-0.8,0.2,9.5,20.7,13.4,1017.6,-2.8,-0.5,4.2,18.7,14.0,1015.5,0.5,-3.4,9.9,16.0,11.7,1017.7,-0.3,-2.8,7.2
2018-01-06,14.5,11.3,1016.3,-0.5,-2.3,10.0,15.1,10.9,1017.9,-0.7,-3.0,10.0,14.7,12.2,1015.4,-0.7,-2.4,10.0,13.9,12.3,1017.1,-1.5,-2.0,10.0
2018-01-07,14.4,13.0,1015.1,-1.1,-2.3,10.0,16.6,14.0,1017.4,-0.9,-1.3,10.0,17.5,14.5,1013.7,-0.1,-1.3,10.0,16.5,15.3,1014.6,-0.4,0.1,10.0
2018-01-08,16.7,16.3,1011.8,-0.4,-0.2,10.0,11.6,8.9,1015.6,-4.5,3.0,9.8,10.4,6.3,1016.6,-4.8,2.5,10.0,6.9,5.1,1022.2,-3.6,1.9,10.0
2018-01-09,7.2,3.0,1022.3,-3.5,1.3,10.0,8.7,3.5,1025.1,-3.3,0.7,10.0,7.9,3.2,1023.0,-2.2,0.9,10.0,9.5,2.2,1025.5,-1.1,0.5,7.4
2018-01-10,8.2,-3.0,1025.5,-2.2,0.9,8.4,12.2,-2.6,1027.2,-3.4,0.7,7.0,14.9,1.1,1023.4,-2.3,0.5,5.9,11.4,-0.3,1026.4,-1.9,0.4,9.9
2018-01-11,8.9,-1.1,1026.6,-1.9,0.4,6.8,12.9,-3.2,1028.0,-3.0,-0.5,1.3,14.9,0.3,1025.2,-1.7,-0.5,0.0,5.7,1.6,1028.7,-1.8,0.5,0.1
2018-01-12,3.1,0.2,1028.4,-1.8,0.5,0.0,12.1,-1.7,1029.5,-2.8,-2.1,0.0,14.0,0.9,1025.5,0.0,-2.4,0.1,8.2,4.1,1029.3,-1.3,-2.9,0.0
